GUIDELINES	YEAR	TEST_METHOD	POTENCY	ORGANISM_CODE	ORGANISM_CODE_TYPE	BREAKPOINT_TYPE	HOST	SITE_OF_INFECTION	REFERENCE_TABLE	REFERENCE_SEQUENCE	WHONET_ABX_CODE	WHONET_TEST	R	I	SDD	S	ECV_ECOFF	DATE_ENTERED	DATE_MODIFIED	COMMENTS
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					CTC	CTC_EM					0.25	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					FOX	FOX_EM					8	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					CPO	CPO_EM					0.25	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					CAZ	CAZ_EM					0.5	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					CCV	CCV_EM					0.5	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					CTB	CTB_EM					1	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					TIO	TIO_EM					1	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					BPR	BPR_EM					0.25	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					CZT	CZT_EM					1	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					CRO	CRO_EM					0.125	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					CXM	CXM_EM					8	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					LEX	LEX_EM					32	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					CEP	CEP_EM					32	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					CHL	CHL_EM					16	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					CIP	CIP_EM					0.064	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					COL	COL_EM					2	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					DFX	DFX_EM					0.125	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					DOR	DOR_EM					0.125	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					DOX	DOX_EM					4	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					ENR	ENR_EM					0.125	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					ERV	ERV_EM					0.5	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					ETP	ETP_EM					0.032	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					FLR	FLR_EM					16	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					FLM	FLM_EM					2	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					FOS	FOS_EM					4	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					GAT	GAT_EM					0.125	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					GEN	GEN_EM					2	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					IPM	IPM_EM					0.5	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					IMR	IMR_EM					0.5	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					KAN	KAN_EM					8	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					LVX	LVX_EM					0.25	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					MEC	MEC_EM					0.5	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					MEM	MEM_EM					0.064	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					MNO	MNO_EM					4	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					MFX	MFX_EM					0.25	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					NAL	NAL_EM					8	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					NEO	NEO_EM					8	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					NET	NET_EM					2	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					NIT	NIT_EM					64	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					OFX	OFX_EM					0.25	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					OMC	OMC_EM					4	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					PIP	PIP_EM					8	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					TZP	TZP_EM					8	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					SIT	SIT_EM					0.032	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					SPT	SPT_EM					64	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					STR	STR_EM					16	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					TEM	TEM_EM					16	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					TCY	TCY_EM					8	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					TCC	TCC_EM					16	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					TGC	TGC_EM					0.5	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					TOB	TOB_EM					4	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					TMP	TMP_EM					2	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					SXT	SXT_EM					0.5	2023-04-05		
EUCAST	2023	MIC		kpn	WHONET_ORG_CODE	ECOFF					AMK	AMK_EM					8	2023-04-05		
EUCAST	2023	MIC		kpn	WHONET_ORG_CODE	ECOFF					CZO	CZO_EM					4	2023-04-05		
EUCAST	2023	MIC		kpn	WHONET_ORG_CODE	ECOFF					FEP	FEP_EM					0.125	2023-04-05		
EUCAST	2023	MIC		kpn	WHONET_ORG_CODE	ECOFF					FPT	FPT_EM					0.125	2023-04-05		
EUCAST	2023	MIC		kpn	WHONET_ORG_CODE	ECOFF					CTX	CTX_EM					0.25	2023-04-05		
EUCAST	2023	MIC		kpn	WHONET_ORG_CODE	ECOFF					FOX	FOX_EM					8	2023-04-05		
EUCAST	2023	MIC		kpn	WHONET_ORG_CODE	ECOFF					CAZ	CAZ_EM					0.5	2023-04-05		
EUCAST	2023	MIC		kpn	WHONET_ORG_CODE	ECOFF					BPR	BPR_EM					0.25	2023-04-05		
EUCAST	2023	MIC		kpn	WHONET_ORG_CODE	ECOFF					CZT	CZT_EM					1	2023-04-05		
EUCAST	2023	MIC		kpn	WHONET_ORG_CODE	ECOFF					CXM	CXM_EM					8	2023-04-05		
EUCAST	2023	MIC		kpn	WHONET_ORG_CODE	ECOFF					CIP	CIP_EM					0.125	2023-04-05		
EUCAST	2023	MIC		kpn	WHONET_ORG_CODE	ECOFF					COL	COL_EM					2	2023-04-05		
EUCAST	2023	MIC		kpn	WHONET_ORG_CODE	ECOFF					DFX	DFX_EM					0.25	2023-04-05		
EUCAST	2023	MIC		kpn	WHONET_ORG_CODE	ECOFF					DOR	DOR_EM					0.125	2023-04-05		
EUCAST	2023	MIC		kpn	WHONET_ORG_CODE	ECOFF					ERV	ERV_EM					1	2023-04-05		
EUCAST	2023	MIC		kpn	WHONET_ORG_CODE	ECOFF					GAT	GAT_EM					0.25	2023-04-05		
EUCAST	2023	MIC		kpn	WHONET_ORG_CODE	ECOFF					GEN	GEN_EM					2	2023-04-05		
EUCAST	2023	MIC		kpn	WHONET_ORG_CODE	ECOFF					IPM	IPM_EM					1	2023-04-05		
EUCAST	2023	MIC		kpn	WHONET_ORG_CODE	ECOFF					IMR	IMR_EM					1	2023-04-05		
EUCAST	2023	MIC		kpn	WHONET_ORG_CODE	ECOFF					LVX	LVX_EM					0.25	2023-04-05		
EUCAST	2023	MIC		kpn	WHONET_ORG_CODE	ECOFF					MEM	MEM_EM					0.125	2023-04-05		
EUCAST	2023	MIC		kpn	WHONET_ORG_CODE	ECOFF					MNO	MNO_EM					8	2023-04-05		
EUCAST	2023	MIC		kpn	WHONET_ORG_CODE	ECOFF					MFX	MFX_EM					0.25	2023-04-05		
EUCAST	2023	MIC		kpn	WHONET_ORG_CODE	ECOFF					OMC	OMC_EM					8	2023-04-05		
EUCAST	2023	MIC		kpn	WHONET_ORG_CODE	ECOFF					TZP	TZP_EM					8	2023-04-05		
EUCAST	2023	MIC		kpn	WHONET_ORG_CODE	ECOFF					SIT	SIT_EM					0.064	2023-04-05		
EUCAST	2023	MIC		kpn	WHONET_ORG_CODE	ECOFF					TEM	TEM_EM					8	2023-04-05		
EUCAST	2023	MIC		kpn	WHONET_ORG_CODE	ECOFF					TCY	TCY_EM					8	2023-04-05		
EUCAST	2023	MIC		kpn	WHONET_ORG_CODE	ECOFF					TGC	TGC_EM					2	2023-04-05		
EUCAST	2023	MIC		kpn	WHONET_ORG_CODE	ECOFF					TOB	TOB_EM					2	2023-04-05		
EUCAST	2023	MIC		kpn	WHONET_ORG_CODE	ECOFF					TMP	TMP_EM					2	2023-04-05		
EUCAST	2023	MIC		kpn	WHONET_ORG_CODE	ECOFF					SXT	SXT_EM					0.5	2023-04-05		
EUCAST	2023	MIC		pae	WHONET_ORG_CODE	ECOFF					AMK	AMK_EM					16	2023-04-05		
EUCAST	2023	MIC		pae	WHONET_ORG_CODE	ECOFF					ATM	ATM_EM					16	2023-04-05		
EUCAST	2023	MIC		pae	WHONET_ORG_CODE	ECOFF					FEP	FEP_EM					8	2023-04-05		
EUCAST	2023	MIC		pae	WHONET_ORG_CODE	ECOFF					FPT	FPT_EM					8	2023-04-05		
EUCAST	2023	MIC		pae	WHONET_ORG_CODE	ECOFF					FPZ	FPZ_EM					8	2023-04-05		
EUCAST	2023	MIC		pae	WHONET_ORG_CODE	ECOFF					CTX	CTX_EM					64	2023-04-05		
EUCAST	2023	MIC		pae	WHONET_ORG_CODE	ECOFF					CAZ	CAZ_EM					8	2023-04-05		
EUCAST	2023	MIC		pae	WHONET_ORG_CODE	ECOFF					BPR	BPR_EM					8	2023-04-05		
EUCAST	2023	MIC		pae	WHONET_ORG_CODE	ECOFF					CZT	CZT_EM					4	2023-04-05		
EUCAST	2023	MIC		pae	WHONET_ORG_CODE	ECOFF					CIP	CIP_EM					0.5	2023-04-05		
EUCAST	2023	MIC		pae	WHONET_ORG_CODE	ECOFF					COL	COL_EM					4	2023-04-05		
EUCAST	2023	MIC		pae	WHONET_ORG_CODE	ECOFF					DFX	DFX_EM					2	2023-04-05		
EUCAST	2023	MIC		pae	WHONET_ORG_CODE	ECOFF					DOR	DOR_EM					1	2023-04-05		
EUCAST	2023	MIC		pae	WHONET_ORG_CODE	ECOFF					ERV	ERV_EM					32	2023-04-05		
EUCAST	2023	MIC		pae	WHONET_ORG_CODE	ECOFF					GEN	GEN_EM					8	2023-04-05		
EUCAST	2023	MIC		pae	WHONET_ORG_CODE	ECOFF					IPM	IPM_EM					4	2023-04-05		
EUCAST	2023	MIC		pae	WHONET_ORG_CODE	ECOFF					IMR	IMR_EM					2	2023-04-05		
EUCAST	2023	MIC		pae	WHONET_ORG_CODE	ECOFF					LVX	LVX_EM					2	2023-04-05		
EUCAST	2023	MIC		pae	WHONET_ORG_CODE	ECOFF					MEM	MEM_EM					2	2023-04-05		
EUCAST	2023	MIC		pae	WHONET_ORG_CODE	ECOFF					MFX	MFX_EM					4	2023-04-05		
EUCAST	2023	MIC		pae	WHONET_ORG_CODE	ECOFF					NET	NET_EM					8	2023-04-05		
EUCAST	2023	MIC		pae	WHONET_ORG_CODE	ECOFF					OFX	OFX_EM					2	2023-04-05		
EUCAST	2023	MIC		pae	WHONET_ORG_CODE	ECOFF					PIP	PIP_EM					16	2023-04-05		
EUCAST	2023	MIC		pae	WHONET_ORG_CODE	ECOFF					TZP	TZP_EM					16	2023-04-05		
EUCAST	2023	MIC		pae	WHONET_ORG_CODE	ECOFF					SIT	SIT_EM					0.5	2023-04-05		
EUCAST	2023	MIC		pae	WHONET_ORG_CODE	ECOFF					TCC	TCC_EM					16	2023-04-05		
EUCAST	2023	MIC		pae	WHONET_ORG_CODE	ECOFF					TGC	TGC_EM					64	2023-04-05		
EUCAST	2023	MIC		pae	WHONET_ORG_CODE	ECOFF					TOB	TOB_EM					2	2023-04-05		
EUCAST	2023	MIC		pae	WHONET_ORG_CODE	ECOFF					SXT	SXT_EM					32	2023-04-05		
EUCAST	2023	MIC		sam	WHONET_ORG_CODE	ECOFF					MEM	MEM_EM					0.064	2023-04-05		
EUCAST	2023	MIC		sat	WHONET_ORG_CODE	ECOFF					AZM	AZM_EM					32	2023-04-05		
EUCAST	2023	MIC		sat	WHONET_ORG_CODE	ECOFF					FOX	FOX_EM					8	2023-04-05		
EUCAST	2023	MIC		sen	WHONET_ORG_CODE	ECOFF					MEM	MEM_EM					0.064	2023-04-05		
EUCAST	2023	DISK	30μg	aba	WHONET_ORG_CODE	ECOFF					AMK	AMK_ED30					18	2023-04-05		
EUCAST	2023	DISK	10μg	aba	WHONET_ORG_CODE	ECOFF					GEN	GEN_ED10					18	2023-04-05		
EUCAST	2023	DISK	10μg	aba	WHONET_ORG_CODE	ECOFF					TOB	TOB_ED10					17	2023-04-05		
EUCAST	2023	DISK	30μg	eco	WHONET_ORG_CODE	ECOFF					AMK	AMK_ED30					17	2023-04-05		
EUCAST	2023	DISK	20μg/10μg	eco	WHONET_ORG_CODE	ECOFF					AMC	AMC_ED20					16	2023-04-05		
EUCAST	2023	DISK	10μg	eco	WHONET_ORG_CODE	ECOFF					AMP	AMP_ED10					14	2023-04-05		
EUCAST	2023	DISK	10μg/10μg	eco	WHONET_ORG_CODE	ECOFF					SAM	SAM_ED10					16	2023-04-05		
EUCAST	2023	DISK	30μg	eco	WHONET_ORG_CODE	ECOFF					ATM	ATM_ED30					27	2023-04-05		
EUCAST	2023	DISK	30μg	eco	WHONET_ORG_CODE	ECOFF					CFR	CFR_ED30					12	2023-04-05		
EUCAST	2023	DISK	30μg	eco	WHONET_ORG_CODE	ECOFF					FEP	FEP_ED30					28	2023-04-05		
EUCAST	2023	DISK	5μg	eco	WHONET_ORG_CODE	ECOFF					CTX	CTX_ED5					21	2023-04-05		
EUCAST	2023	DISK	30μg	eco	WHONET_ORG_CODE	ECOFF					FOX	FOX_ED30					17	2023-04-05		
EUCAST	2023	DISK	5μg	eco	WHONET_ORG_CODE	ECOFF					CPT	CPT_ED5					22	2023-04-05		
EUCAST	2023	DISK	10μg	eco	WHONET_ORG_CODE	ECOFF					CAZ	CAZ_ED10					20	2023-04-05		
EUCAST	2023	DISK	10μg/4μg	eco	WHONET_ORG_CODE	ECOFF					CZA	CZA_ED10					20	2023-04-05		
EUCAST	2023	DISK	30μg	eco	WHONET_ORG_CODE	ECOFF					CTB	CTB_ED30					23	2023-04-05		
EUCAST	2023	DISK	30μg	eco	WHONET_ORG_CODE	ECOFF					CXM	CXM_ED30					18	2023-04-05		
EUCAST	2023	DISK	30μg	eco	WHONET_ORG_CODE	ECOFF					LEX	LEX_ED30					14	2023-04-05		
EUCAST	2023	DISK	5μg	eco	WHONET_ORG_CODE	ECOFF					CIP	CIP_ED5					25	2023-04-05		
EUCAST	2023	DISK	10μg	eco	WHONET_ORG_CODE	ECOFF					DOR	DOR_ED10					26	2023-04-05		
EUCAST	2023	DISK	10μg	eco	WHONET_ORG_CODE	ECOFF					ETP	ETP_ED10					24	2023-04-05		
EUCAST	2023	DISK	200μg	eco	WHONET_ORG_CODE	ECOFF					FOS	FOS_ED200					22	2023-04-05		
EUCAST	2023	DISK	10μg	eco	WHONET_ORG_CODE	ECOFF					GEN	GEN_ED10					17	2023-04-05		
EUCAST	2023	DISK	10μg	eco	WHONET_ORG_CODE	ECOFF					IPM	IPM_ED10					24	2023-04-05		
EUCAST	2023	DISK	5μg	eco	WHONET_ORG_CODE	ECOFF					LVX	LVX_ED5					25	2023-04-05		
EUCAST	2023	DISK	10μg	eco	WHONET_ORG_CODE	ECOFF					MEC	MEC_ED10					20	2023-04-05		
EUCAST	2023	DISK	10μg	eco	WHONET_ORG_CODE	ECOFF					MEM	MEM_ED10					25	2023-04-05		
EUCAST	2023	DISK	5μg	eco	WHONET_ORG_CODE	ECOFF					MFX	MFX_ED5					22	2023-04-05		
EUCAST	2023	DISK	30μg	eco	WHONET_ORG_CODE	ECOFF					NAL	NAL_ED30					19	2023-04-05		
EUCAST	2023	DISK	10μg	eco	WHONET_ORG_CODE	ECOFF					NEO	NEO_ED10					12	2023-04-05		
EUCAST	2023	DISK	100μg	eco	WHONET_ORG_CODE	ECOFF					NIT	NIT_ED100					11	2023-04-05		
EUCAST	2023	DISK	30μg	eco	WHONET_ORG_CODE	ECOFF					NTR	NTR_ED30					15	2023-04-05		
EUCAST	2023	DISK	5μg	eco	WHONET_ORG_CODE	ECOFF					OFX	OFX_ED5					24	2023-04-05		
EUCAST	2023	DISK	30μg/6μg	eco	WHONET_ORG_CODE	ECOFF					TZP	TZP_ED30					19	2023-04-05		
EUCAST	2023	DISK	30μg	eco	WHONET_ORG_CODE	ECOFF					TEM	TEM_ED30					18	2023-04-05		
EUCAST	2023	DISK	15μg	eco	WHONET_ORG_CODE	ECOFF					TGC	TGC_ED15					18	2023-04-05		
EUCAST	2023	DISK	10μg	eco	WHONET_ORG_CODE	ECOFF					TOB	TOB_ED10					16	2023-04-05		
EUCAST	2023	DISK	5μg	eco	WHONET_ORG_CODE	ECOFF					TMP	TMP_ED5					20	2023-04-05		
EUCAST	2023	DISK	1.25μg/23.75μg	eco	WHONET_ORG_CODE	ECOFF					SXT	SXT_ED1_2					21	2023-04-05		
EUCAST	2023	DISK	30μg	kpn	WHONET_ORG_CODE	ECOFF					AMK	AMK_ED30					18	2023-04-05		
EUCAST	2023	DISK	20μg/10μg	kpn	WHONET_ORG_CODE	ECOFF					AMC	AMC_ED20					18	2023-04-05		
EUCAST	2023	DISK	10μg	kpn	WHONET_ORG_CODE	ECOFF					AMP	AMP_ED10					14	2023-04-05		
EUCAST	2023	DISK	10μg/10μg	kpn	WHONET_ORG_CODE	ECOFF					SAM	SAM_ED10					14	2023-04-05		
EUCAST	2023	DISK	30μg	kpn	WHONET_ORG_CODE	ECOFF					ATM	ATM_ED30					25	2023-04-05		
EUCAST	2023	DISK	30μg	kpn	WHONET_ORG_CODE	ECOFF					CFR	CFR_ED30					15	2023-04-05		
EUCAST	2023	DISK	30μg	kpn	WHONET_ORG_CODE	ECOFF					FEP	FEP_ED30					24	2023-04-05		
EUCAST	2023	DISK	5μg	kpn	WHONET_ORG_CODE	ECOFF					CTX	CTX_ED5					21	2023-04-05		
EUCAST	2023	DISK	30μg	kpn	WHONET_ORG_CODE	ECOFF					FOX	FOX_ED30					19	2023-04-05		
EUCAST	2023	DISK	5μg	kpn	WHONET_ORG_CODE	ECOFF					CPT	CPT_ED5					23	2023-04-05		
EUCAST	2023	DISK	10μg	kpn	WHONET_ORG_CODE	ECOFF					CAZ	CAZ_ED10					20	2023-04-05		
EUCAST	2023	DISK	30μg	kpn	WHONET_ORG_CODE	ECOFF					CTB	CTB_ED30					25	2023-04-05		
EUCAST	2023	DISK	30μg	kpn	WHONET_ORG_CODE	ECOFF					CXM	CXM_ED30					18	2023-04-05		
EUCAST	2023	DISK	30μg	kpn	WHONET_ORG_CODE	ECOFF					LEX	LEX_ED30					14	2023-04-05		
EUCAST	2023	DISK	30μg	kpn	WHONET_ORG_CODE	ECOFF					CHL	CHL_ED30					17	2023-04-05		
EUCAST	2023	DISK	5μg	kpn	WHONET_ORG_CODE	ECOFF					CIP	CIP_ED5					22	2023-04-05		
EUCAST	2023	DISK	10μg	kpn	WHONET_ORG_CODE	ECOFF					DOR	DOR_ED10					24	2023-04-05		
EUCAST	2023	DISK	10μg	kpn	WHONET_ORG_CODE	ECOFF					ETP	ETP_ED10					24	2023-04-05		
EUCAST	2023	DISK	10μg	kpn	WHONET_ORG_CODE	ECOFF					GEN	GEN_ED10					17	2023-04-05		
EUCAST	2023	DISK	10μg	kpn	WHONET_ORG_CODE	ECOFF					IPM	IPM_ED10					23	2023-04-05		
EUCAST	2023	DISK	5μg	kpn	WHONET_ORG_CODE	ECOFF					LVX	LVX_ED5					24	2023-04-05		
EUCAST	2023	DISK	10μg	kpn	WHONET_ORG_CODE	ECOFF					MEC	MEC_ED10					19	2023-04-05		
EUCAST	2023	DISK	10μg	kpn	WHONET_ORG_CODE	ECOFF					MEM	MEM_ED10					25	2023-04-05		
EUCAST	2023	DISK	5μg	kpn	WHONET_ORG_CODE	ECOFF					MFX	MFX_ED5					23	2023-04-05		
EUCAST	2023	DISK	30μg	kpn	WHONET_ORG_CODE	ECOFF					NAL	NAL_ED30					16	2023-04-05		
EUCAST	2023	DISK	10μg	kpn	WHONET_ORG_CODE	ECOFF					NEO	NEO_ED10					12	2023-04-05		
EUCAST	2023	DISK	10μg	kpn	WHONET_ORG_CODE	ECOFF					NET	NET_ED10					15	2023-04-05		
EUCAST	2023	DISK	5μg	kpn	WHONET_ORG_CODE	ECOFF					OFX	OFX_ED5					22	2023-04-05		
EUCAST	2023	DISK	30μg/6μg	kpn	WHONET_ORG_CODE	ECOFF					TZP	TZP_ED30					17	2023-04-05		
EUCAST	2023	DISK	10μg	kpn	WHONET_ORG_CODE	ECOFF					TOB	TOB_ED10					16	2023-04-05		
EUCAST	2023	DISK	5μg	kpn	WHONET_ORG_CODE	ECOFF					TMP	TMP_ED5					18	2023-04-05		
EUCAST	2023	DISK	1.25μg/23.75μg	kpn	WHONET_ORG_CODE	ECOFF					SXT	SXT_ED1_2					19	2023-04-05		
EUCAST	2023	DISK	30μg	pae	WHONET_ORG_CODE	ECOFF					AMK	AMK_ED30					18	2023-04-05		
EUCAST	2023	DISK	30μg	pae	WHONET_ORG_CODE	ECOFF					ATM	ATM_ED30					18	2023-04-05		
EUCAST	2023	DISK	30μg	pae	WHONET_ORG_CODE	ECOFF					FEP	FEP_ED30					18	2023-04-05		
EUCAST	2023	DISK	10μg	pae	WHONET_ORG_CODE	ECOFF					CAZ	CAZ_ED10					18	2023-04-05		
EUCAST	2023	DISK	5μg	pae	WHONET_ORG_CODE	ECOFF					CIP	CIP_ED5					26	2023-04-05		
EUCAST	2023	DISK	10μg	pae	WHONET_ORG_CODE	ECOFF					DOR	DOR_ED10					27	2023-04-05		
EUCAST	2023	DISK	10μg	pae	WHONET_ORG_CODE	ECOFF					GEN	GEN_ED10					15	2023-04-05		
EUCAST	2023	DISK	10μg	pae	WHONET_ORG_CODE	ECOFF					IPM	IPM_ED10					20	2023-04-05		
EUCAST	2023	DISK	5μg	pae	WHONET_ORG_CODE	ECOFF					LVX	LVX_ED5					18	2023-04-05		
EUCAST	2023	DISK	10μg	pae	WHONET_ORG_CODE	ECOFF					MEM	MEM_ED10					24	2023-04-05		
EUCAST	2023	DISK	10μg	pae	WHONET_ORG_CODE	ECOFF					NET	NET_ED10					12	2023-04-05		
EUCAST	2023	DISK	30μg/6μg	pae	WHONET_ORG_CODE	ECOFF					TZP	TZP_ED30					19	2023-04-05		
EUCAST	2023	DISK	75/10-15μg	pae	WHONET_ORG_CODE	ECOFF					TCC	TCC_ED75					17	2023-04-05		
